input_id,titulo_input,autores_input,source,source_id,titulo_candidato,autores_candidato,editorial_candidata,idioma_candidato,isbn_13,isbn_10,title_score,authors_score,language_score,publisher_score,score
53,Functional Programming in Scala,Paul Chiusano; Runar Bjarnason,openlibrary,/works/OL28432854W,"Functional Programming in Scala, Second Edition",Michael Pilquist; Paul Chiusano; Rúnar Bjarnasson,Manning Publications Co. LLC,ingles,9781617299582,1617299588,1.0000,0.7917,1.0000,1.0000,0.9479
53,Functional Programming in Scala,Paul Chiusano; Runar Bjarnason,google_books,GjszEAAAQBAJ,Functional Programming in Scala,Paul Chiusano; Runar Bjarnason,Simon and Schuster,ingles,9781638353959,1638353956,1.0000,1.0000,1.0000,0.3200,0.9320
53,Functional Programming in Scala,Paul Chiusano; Runar Bjarnason,google_books,D-29EAAAQBAJ,"Functional Programming in Scala, Second Edition",Michael Pilquist; Paul Chiusano; Rúnar Bjarnasson,Simon and Schuster,ingles,9781617299582,1617299588,1.0000,0.7917,1.0000,0.3200,0.8799
54,Domain Modeling Made Functional,Scott Wlaschin,openlibrary,/works/OL19542938W,Domain Modeling Made Functional,Scott Wlaschin,Pragmatic Bookshelf,ingles,9781680502541,1680502549,1.0000,1.0000,1.0000,1.0000,1.0000
55,Category Theory for Programmers,Bartosz Milewski,openlibrary,/works/OL23987566W,Category Theory for Programmers,Bortosz Milewski; Bartosz Milewski,Blurb,ingles,9780464825081,0464243874,1.0000,1.0000,1.0000,0.5000,0.9500
55,Category Theory for Programmers,Bartosz Milewski,openlibrary,/works/OL38179622W,"Category Theory for Programmers (Scala Edition, Paperback)",Bartosz Milewski,Blurb,ingles,9780464183648,0464183642,1.0000,1.0000,1.0000,0.5000,0.9500
56,Parallel and Concurrent Programming in Haskell,Simon Marlow,openlibrary,/works/OL17581286W,Parallel And Concurrent Programming In Haskell,Simon Marlow,"O'Reilly Media, Incorporated",ingles,9781449335946,1449335942,1.0000,1.0000,1.0000,1.0000,1.0000
57,Effective Haskell,Rebecca Skinner,openlibrary,/works/OL27817431W,Effective Haskell,Rebecca Skinner,"O'Reilly Media, Incorporated",ingles,9781680509342,1680509349,1.0000,1.0000,1.0000,0.3043,0.9304
57,Effective Haskell,Rebecca Skinner,google_books,JslYEQAAQBAJ,Effective Haskell,Rebecca Skinner,The Pragmatic Programmers LLC,ingles,9798888650394,,1.0000,1.0000,1.0000,0.6429,0.9643
58,The Little Typer,Daniel P. Friedman; David Thrane Christiansen,openlibrary,/works/OL20186830W,The Little Typer,Daniel P. Friedman; David Thrane Christiansen,The MIT Press,ingles,9780262351003,0262350998,1.0000,1.0000,1.0000,1.0000,1.0000
58,The Little Typer,Daniel P. Friedman; David Thrane Christiansen,google_books,sLJyDwAAQBAJ,The Little Typer,Daniel P. Friedman; David Thrane Christiansen,MIT Press,ingles,9780262536431,0262536439,1.0000,1.0000,1.0000,1.0000,1.0000
60,Learn You a Haskell for Great Good!,Miran Lipovaca,openlibrary,/works/OL15916305W,Learn you a Haskell for great good!,Miran Lipovača,No Starch Press,ingles,9781593272838,1593272952,1.0000,1.0000,1.0000,1.0000,1.0000
61,Purely Functional Data Structures,Chris Okasaki,openlibrary,/works/OL1863182W,Purely functional data structures,Chris Okasaki,Cambridge University Press,ingles,9781283870801,0511825137,1.0000,1.0000,1.0000,1.0000,1.0000
61,Purely Functional Data Structures,Chris Okasaki,google_books,IV8hAwAAQBAJ,Purely Functional Data Structures,Chris Okasaki,Cambridge University Press,ingles,9781139811019,1139811010,1.0000,1.0000,1.0000,1.0000,1.0000
62,iOS 10 Programming for Beginners,Craig Clayton,openlibrary,/works/OL19546249W,iOS 10 Programming for Beginners,Craig Clayton,Packt Publishing - ebooks Account,desconocido,9781786464507,1786464500,1.0000,1.0000,0.5000,0.5000,0.9000
63,Empowering Marketing and Sales with HubSpot,Resa Gooding,openlibrary,/works/OL25343662W,Empowering Marketing and Sales with HubSpot,Resa Gooding,"de Gruyter GmbH, Walter",ingles,9781838987145,1838984437,1.0000,1.0000,1.0000,0.5000,0.9500
